SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
TOP10ADD,EQUITY,Nifty Top 10 Equal Weight,FACTOR,EQUAL_WEIGHT,TOP 10 EQUAL WEIGHT,0,8,TIER2,AUTO,453187,YES,85.50,85.08,85.09,tier2 ignores cap segment; tier1 keeps exact index
TOP20,EQUITY,Nifty Top 20 Equal Weight,FACTOR,EQUAL_WEIGHT,TOP 20 EQUAL WEIGHT,0,8,TIER2,AUTO,69451,NO,8.67,8.61,8.65,tier2 ignores cap segment; tier1 keeps exact index
EQUAL200,EQUITY,BSE 200 Equal Weight,FACTOR,EQUAL_WEIGHT,200 EQUAL WEIGHT,0,8,TIER2,AUTO,41542,NO,13.44,11.31,-,tier2 ignores cap segment; tier1 keeps exact index
NIFTY100EW,EQUITY,Nifty 100 Equal Weight,FACTOR,EQUAL_WEIGHT,100 EQUAL WEIGHT,0,8,TIER2,AUTO,37581,NO,34.27,33.80,34.07,tier2 ignores cap segment; tier1 keeps exact index
TOP15IETF,EQUITY,Nifty Top 15 Equal Weight,FACTOR,EQUAL_WEIGHT,TOP 15 EQUAL WEIGHT,0,8,TIER2,AUTO,31445,NO,9.55,9.48,9.49,tier2 ignores cap segment; tier1 keeps exact index
SBINEQWETF,EQUITY,Nifty 50 Equal Weight,FACTOR,EQUAL_WEIGHT,50 EQUAL WEIGHT,3,8,TIER1,AUTO,15561,NO,32.59,32.18,32.41,tier2 ignores cap segment; tier1 keeps exact index
MON50EQUAL,EQUITY,NIFTY 50 Equal Weight,FACTOR,EQUAL_WEIGHT,50 EQUAL WEIGHT,3,8,TIER1,AUTO,6362,NO,32.40,32.12,-,tier2 ignores cap segment; tier1 keeps exact index
EQUAL50ADD,EQUITY,NIFTY 50 Equal Weight,FACTOR,EQUAL_WEIGHT,50 EQUAL WEIGHT,3,8,TIER1,AUTO,6248,NO,334.25,330.81,333.16,tier2 ignores cap segment; tier1 keeps exact index
EQUAL50,EQUITY,Nifty 50 Equal Weight,FACTOR,EQUAL_WEIGHT,50 EQUAL WEIGHT,3,8,TIER1,AUTO,528,NO,323.05,320.26,323.00,tier2 ignores cap segment; tier1 keeps exact index
ESG,EQUITY,Nifty 100 ESG Sector Leaders,FACTOR,ESG,100 ESG SECTOR LEADERS,0,0,NO,AUTO,26115,NO,40.05,39.83,40.07,tier2 ignores cap segment; tier1 keeps exact index
HDFCGROWTH,EQUITY,Nifty Growth Sectors 15,FACTOR,GROWTH,GROWTH SECTORS 15,0,0,NO,AUTO,7899,NO,115.80,114.92,115.14,tier2 ignores cap segment; tier1 keeps exact index
ALPL30IETF,EQUITY,Nifty Alpha Low-Volatility 30,FACTOR,LOW_VOLATILITY,ALPHA LOW-VOLATILITY 30,0,5,TIER2,AUTO,894010,YES,26.93,26.89,27.07,tier2 ignores cap segment; tier1 keeps exact index
LOWVOLIETF,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY,100 LOW VOLATILITY 30,3,5,TIER1,AUTO,472478,YES,21.31,21.32,21.42,tier2 ignores cap segment; tier1 keeps exact index
GROWWLOVOL,EQUITY,Nifty 500 Low Volatility 50,FACTOR,LOW_VOLATILITY,500 LOW VOLATILITY 50,0,5,TIER2,AUTO,11111,NO,10.06,10.04,10.11,tier2 ignores cap segment; tier1 keeps exact index
HDFCLOWVOL,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY,100 LOW VOLATILITY 30,3,5,TIER1,AUTO,4264,NO,20.05,19.85,19.92,tier2 ignores cap segment; tier1 keeps exact index
LOWVOL1,EQUITY,NIFTY 100 Low Volatility 30,FACTOR,LOW_VOLATILITY,100 LOW VOLATILITY 30,3,5,TIER1,AUTO,3967,NO,20.32,20.33,20.41,tier2 ignores cap segment; tier1 keeps exact index
LOWVOL,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY,100 LOW VOLATILITY 30,3,5,TIER1,AUTO,2030,NO,199.88,198.64,199.62,tier2 ignores cap segment; tier1 keeps exact index
MOMMIDCAP,EQUITY,BSE Midcap 150 Momentum 30,FACTOR,MOMENTUM,MIDCAP 150 MOMENTUM 30,0,9,TIER2,AUTO,1344900,YES,12.70,12.58,-,tier2 ignores cap segment; tier1 keeps exact index
MOM30IETF,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM,200 MOMENTUM 30,4,9,TIER1,AUTO,432970,YES,30.84,30.25,30.69,tier2 ignores cap segment; tier1 keeps exact index
MOMENTUM50,EQUITY,Nifty 500 Momentum 50,FACTOR,MOMENTUM,500 MOMENTUM 50,1,9,TIER1,AUTO,239860,YES,53.25,52.46,53.17,tier2 ignores cap segment; tier1 keeps exact index
MOMOMENTUM,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM,200 MOMENTUM 30,4,9,TIER1,AUTO,211558,YES,60.69,60.14,61.00,tier2 ignores cap segment; tier1 keeps exact index
MOMENTUM30,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM,200 MOMENTUM 30,4,9,TIER1,AUTO,171221,YES,29.98,29.71,30.13,tier2 ignores cap segment; tier1 keeps exact index
HDFCMOMENT,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM,200 MOMENTUM 30,4,9,TIER1,AUTO,142609,YES,30.26,29.99,30.38,tier2 ignores cap segment; tier1 keeps exact index
SBIMIDMOM,EQUITY,Nifty Midcap 150 Momentum 50,FACTOR,MOMENTUM,MIDCAP 150 MOMENTUM 50,1,9,TIER1,AUTO,106166,YES,62.82,61.74,62.48,tier2 ignores cap segment; tier1 keeps exact index
