SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,VOLUME,LIQUID,TRADABLE,HARVEST_PEERS_TIER1,HARVEST_PEERS_TIER2,HARVEST_VIABLE,LTP,NAV,I_NAV,NOTE
MOMIDMTM,EQUITY,Nifty Midcap 150 Momentum 50,FACTOR,MOMENTUM_MIDCAP,MIDCAP 150 MOMENTUM 50,79088,NO,NO,0,0,NO,63.01,62.53,-,factor split by cap segment (Q-202)
AONETMMQ50,EQUITY,Nifty Total Market Momentum Quality 50,FACTOR,MOMENTUM_QUALITY_BROAD500,TOTAL MARKET MOMENTUM QUALITY 50,69955,NO,NO,0,0,NO,10.15,10.00,10.00,factor split by cap segment (Q-202)
EMULTIMQ,EQUITY,Nifty 500 Multicap Momentum Quality 50,FACTOR,MOMENTUM_QUALITY_BROAD500,500 MULTICAP MOMENTUM QUALITY 50,17658,NO,NO,0,0,NO,41.39,40.43,40.68,factor split by cap segment (Q-202)
SMALLCAP,EQUITY,Nifty Smallcap 250 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY_SMALLCAP,SMALLCAP 250 MOMENTUM QUALITY 100,1476596,YES,YES,0,1,TIER2,48.21,47.71,48.25,factor split by cap segment (Q-202)
MIDSMALL,EQUITY,Nifty MidSmallcap400 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY_SMALLCAP,MIDSMALLCAP400 MOMENTUM QUALITY 100,135992,YES,YES,0,1,TIER2,50.69,50.24,50.86,factor split by cap segment (Q-202)
SMALLGROWW,EQUITY,Nifty Smallcap 250 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY_SMALLCAP,SMALLCAP 250 MOMENTUM QUALITY 100,7927,NO,NO,0,0,NO,47.89,47.77,47.77,factor split by cap segment (Q-202)
FLEXIADD,EQUITY,Nifty 500 Flexicap Quality 30,FACTOR,QUALITY_BROAD500,500 FLEXICAP QUALITY 30,124615,YES,YES,0,0,NO,9.77,9.65,9.72,factor split by cap segment (Q-202)
HDFCQUAL,EQUITY,Nifty 100 Quality 30,FACTOR,QUALITY_LARGECAP100,100 QUALITY 30,8797,NO,NO,0,0,NO,56.54,56.56,56.86,factor split by cap segment (Q-202)
NIFTYQLITY,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,121631,YES,YES,0,0,NO,20.60,20.47,20.55,factor split by cap segment (Q-202)
QUAL30IETF,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,23099,NO,NO,0,0,NO,20.45,20.27,20.35,factor split by cap segment (Q-202)
QUALITY30,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,1924,NO,NO,0,0,NO,19.85,19.87,19.97,factor split by cap segment (Q-202)
SBIETFQLTY,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,1903,NO,NO,0,0,NO,215.01,213.12,213.98,factor split by cap segment (Q-202)
MIDQ50ADD,EQUITY,Nifty Midcap 150 Quality 50,FACTOR,QUALITY_MIDCAP,MIDCAP 150 QUALITY 50,8990,NO,NO,0,0,NO,24.20,23.96,24.16,factor split by cap segment (Q-202)
MOQUALITY,EQUITY,BSE Quality,FACTOR,QUALITY_UNSPECIFIED,QUALITY,378,NO,NO,0,0,NO,193.52,192.08,193.19,factor split by cap segment (Q-202)
SHARIABEES,EQUITY,Nifty 50 Shariah,FACTOR,SHARIAH_LARGECAP50,50 SHARIAH,5890,NO,NO,0,0,NO,443.75,438.18,440.05,factor split by cap segment (Q-202)
VALUEAXIS,EQUITY,Nifty 500 Value 50,FACTOR,VALUE_BROAD500,500 VALUE 50,40405,NO,NO,0,0,NO,32.00,31.98,32.11,factor split by cap segment (Q-202)
VALUE,EQUITY,Nifty 500 Value 50,FACTOR,VALUE_BROAD500,500 VALUE 50,5339,NO,NO,0,0,NO,15.76,15.71,15.78,factor split by cap segment (Q-202)
VAL30IETF,EQUITY,Nifty 200 Value 30,FACTOR,VALUE_LARGECAP200,200 VALUE 30,158592,YES,YES,0,0,NO,14.90,14.80,14.83,factor split by cap segment (Q-202)
SBIVALETF,EQUITY,Nifty 200 Value 30,FACTOR,VALUE_LARGECAP200,200 VALUE 30,855,NO,NO,0,0,NO,14.35,14.37,14.40,factor split by cap segment (Q-202)
NV20IETF,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,337403,YES,YES,0,0,NO,13.27,13.20,13.19,factor split by cap segment (Q-202)
NV20,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,45776,NO,NO,0,0,NO,13.57,13.53,13.53,factor split by cap segment (Q-202)
NV20BEES,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,15612,NO,NO,0,0,NO,136.12,135.45,135.36,factor split by cap segment (Q-202)
HDFCVALUE,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,5105,NO,NO,0,0,NO,122.22,121.85,121.76,factor split by cap segment (Q-202)
MOVALUE,EQUITY,BSE Enhanced Value,FACTOR,VALUE_UNSPECIFIED,ENHANCED VALUE,34522,NO,NO,0,0,NO,109.97,110.06,110.53,factor split by cap segment (Q-202)
MONQ50,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,2080987,YES,YES,4,4,TIER1,330.33,116.69,116.81,structural NAV premium — see NAV-PREMIUM-CHECK.md
