SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
HDFCPVTBAN,INF179KC1HZ7,HDFC NIFTY Private Bank ETF,HDFC Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCQUAL,INF179KC1DL6,HDFC NIFTY100 QUALITY 30 ETF,HDFC Mutual Fund,,Nifty 100 Quality 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCSENSEX,INF179KC1HX2,HDFC BSE Sensex ETF,HDFC Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCSILVER,INF179KC1DI2,HDFC Silver ETF,HDFC Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCSML250,INF179KC1FB2,HDFC NIFTY Smallcap 250 ETF,HDFC Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCVALUE,INF179KC1DK8,HDFC NIFTY50 VALUE 20 ETF,HDFC Mutual Fund,,Nifty 50 Value 20,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HEALTHADD,INF740KA1ZG1,DSP Nifty Healthcare ETF,DSP Mutual Fund,,Nifty Healthcare,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HEALTHAXIS,INF846K01Z12,Axis NIFTY Healthcare ETF,Axis Mutual Fund,,Nifty Healthcare,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HEALTHCARE,INF769K01QA6,Mirae Asset Nifty 500 Healthcare ETF,Mirae Asset Mutual Fund,Nifty 500,Nifty 500 Healthcare,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HEALTHIETF,INF109KC1Q72,ICICI Prudential Nifty Healthcare ETF,ICICI Prudential Mutual Fund,,Nifty Healthcare,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HEALTHY,INF209KB10C2,Aditya Birla Sun Life Nifty Healthcare ETF,Aditya Birla Sun Life Mutual Fund,,Nifty Healthcare,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
